Category,Trait,Example,Vibe
Game - Music,Action-driven verbs,"TAP THE TILES, SCAN A CARD, BUILD YOUR TIMELINE","Energetic, directive"
,Hype claims / rankings,"TOP 1 MUSIC GAME, UNBELIEVABLE, 93% de retours positifs","Bold, promotional"
,Music fandom appeal,"ALL YOUR FAVORITE BANDS, FAVORITE IDOL THEME","Youthful, niche-focused"
,Progress & competition,"CLIMB RANK, CONQUÉRIR LE CLASSEMENT, COMPETE & WIN","Gamified, competitive"
,Short & punchy phrases,"SWING, EXPLORE, COLLECT","Snappy, mobile-optimized"
,,,
Category,Trait,Example,Vibe
Game - Casual,Relatable daily actions,"GÉREZ VOTRE HÔTEL, SERVEZ VOS CLIENTS, RÉNOVEZ","Familiar, easy to relate"
,Social/party game hooks,"JEU POUR RIRE ENTRE POTES !, CRÉE UNE PARTIE, INVITE TES POTES","Playful, social"
,Progress mechanics,"GRIMPEZ LES CLASSEMENTS, DÉBLOQUEZ DE NOUVEAUX QUARTIERS","Lightly gamified, encouraging"
,Humor & randomness,"FOUS RIRES. SURPRISES. ZEBUL, QUEL MODE OSERAS-TU TESTER ?","Whimsical, chaotic fun"
,Accessibility & chill vibe,"OFFLINE GAMES, RELAXING!, NO WIFI GAMES","Low pressure, casual"
,,,
Category,Trait,Example,Vibe
Entertainment,Content scale & discovery,"LISEZ DES MILLIERS DE COMICS, 1000+ ÉPISODES, Des séries et des films pour tous les goûts","Content-rich, wide appeal"
,Personalized experience,"Vos recommandations personnalisées, Un feed personnalisé","Smart, user-first"
,"Immersive, emotional phrasing","Plonger dans le drame, Commencer le voyage","Emotional, cinematic"
,Everyday utility,"Téléchargez pour voir plus tard, Ne ratez rien","Reliable, lifestyle-integrated"
,Habit & engagement loops,"Des nouveaux épisodes chaque jour, Toujours à portée de doigt","Routine-building, sticky UX"
