Category,SS#,Original English,Japanese Translation,Suggested Line Break,Bold Styling,Back Translation to English
Game - Music,SS1,PLAY HOT NEW SONGS,最新のヒット曲をプレイ！,"最新のヒット曲を
プレイ！",最新のヒット曲を,Play the latest hit songs!
Game - Music,SS2,PLAY HOT NEW SONGS,今すぐトレンドの楽曲を楽しもう！,"今すぐトレンドの
楽曲を楽しもう！",今すぐトレンドの,Enjoy trending songs right now!
Game - Music,SS3,NEW EXTREME MODE,新エクストリームモード解禁！,"新エクストリーム
モード解禁！",新エクストリーム,New extreme mode unlocked!
Game - Music,SS4,CLIMB RANKS,ランキングを駆け上がれ！,"ランキングを
駆け上がれ！",ランキングを,Climb the rankings!
Game - Music,SS5,PIANO FOR EVERYONE,みんなのピアノゲーム,"みんなの
ピアノゲーム",みんなの,Piano game for everyone
Game - Music,SS6,93% POSITIVE RATINGS,93%のプレイヤーが満足！,"93%のプレイヤーが
満足！",93%のプレイヤーが,93% of players are satisfied!
Game - Music,SS7,CHALLENGE WITH FRIENDS,友達とリズム対戦！,"友達と
リズム対戦！",友達と,Rhythm battle with friends!
Game - Music,SS8,EASY BUT SATISFYING,簡単だけど楽しい！,"簡単だけど
楽しい！",簡単だけど,Easy but fun!
Game - Casual,SS1,MANAGE YOUR HOTEL,ホテルを経営しよう,"ホテルを
経営しよう",ホテルを,Manage your hotel
Game - Casual,SS2,SERVE YOUR CUSTOMERS,お客様をもてなそう,"お客様を
もてなそう",お客様を,Serve your customers
Game - Casual,SS3,DECORATE ROOMS,部屋をデコレーション,"部屋を
デコレーション",部屋を,Decorate rooms
Game - Casual,SS4,GROW YOUR BUSINESS,ビジネスを拡大しよう,"ビジネスを
拡大しよう",ビジネスを,Grow your business
Game - Casual,SS5,EXCITING LOCATIONS,ワクワクする場所,"ワクワクする
場所",ワクワクする,Exciting locations
Entertainment,SS1,ONE APP for all your entertainment,すべてのエンターテイメントが1つのアプリで,"すべてのエンターテイメントが
1つのアプリで",すべてのエンターテイメントが,All your entertainment in one app
Entertainment,SS2,Award-winning movies and TV Shows,受賞歴のある映画とTV番組,"受賞歴のある
映画とTV番組",受賞歴のある,Award-winning movies and TV shows
Entertainment,SS3,"Download to watch anytime, anywhere",いつでもどこでも視聴可能,"いつでもどこでも
視聴可能",いつでもどこでも,"Watch anytime, anywhere"
Entertainment,SS4,Personalized profiles for tailored experiences,あなたに合わせたパーソナライズ体験,"あなたに合わせた
パーソナライズ体験",あなたに合わせた,Personalized experience tailored to you
